cubin,kernel,total_inst,HMMA,IMMA,LDSM,LDS,STS,LDGSTS,LDG,STG,FFMA,FADD,FMUL,FSEL,MUFU,SHFL,IADD3,IMAD,ISETP,LOP3,BRA,EXIT,BAR,BARRIER,WARPSYNC,NOP,S2R,other,useful_pct
kernels/gemm/hgemm/hgemm_tiled_direct.sm_86.cubin,hgemm_tiled_direct,992,64,0,24,0,48,16,48,32,0,0,0,0,0,0,80,189,99,25,43,2,2,0,8,10,6,296,6.5
kernels/gemm/igemm/igemm_8warp_256.sm_86.cubin,igemm_8warp_256,3792,0,128,8,368,160,24,72,112,0,0,113,0,0,0,475,696,253,137,163,2,2,0,16,40,21,1002,6.4
kernels/gemm/igemm/igemm_sparse_tiled_ldsm_fused.sm_86.cubin,igemm_sparse_tiled,1064,0,32,8,40,64,2,64,32,0,0,33,0,0,0,98,187,126,58,26,3,2,0,0,13,9,267,6.1
kernels/gemm/igemm/igemm_sparse_tiled.sm_86.cubin,igemm_sparse_tiled,1064,0,32,8,40,64,2,64,32,0,0,33,0,0,0,98,187,126,58,26,3,2,0,0,13,9,267,6.1
kernels/gemm/hgemm/hgemm_16warp.sm_86.cubin,hgemm_16warp,544,32,0,16,0,32,4,28,16,0,0,0,0,0,0,50,138,45,15,15,2,2,0,4,11,7,127,5.9
experiments/rust-experiments/cymatic_oxide/gather_nvcc.sm_86.cubin,gather_sum,120,0,0,0,0,0,0,14,0,0,7,0,0,1,0,10,29,12,3,8,2,0,0,0,13,2,19,5.8
kernels/gemm/igemm/igemm_8warp.imma_s02.sm_86.cubin,igemm_8warp,2080,0,64,8,184,96,16,48,56,0,0,57,0,0,0,269,392,145,76,90,2,2,0,8,27,13,527,5.8
kernels/gemm/igemm/igemm_8warp.imma_s04.sm_86.cubin,igemm_8warp,2080,0,64,8,184,96,16,48,56,0,0,57,0,0,0,269,392,145,76,90,2,2,0,8,27,13,527,5.8
kernels/gemm/igemm/igemm_8warp.sm_86.cubin,igemm_8warp,2080,0,64,8,184,96,16,48,56,0,0,57,0,0,0,269,392,145,76,90,2,2,0,8,27,13,527,5.8
kernels/gemm/igemm/igemm_sparse_tiled_ldsm.sm_86.cubin,igemm_sparse_tiled,1120,0,32,8,52,74,4,62,32,0,0,33,0,0,0,131,176,121,32,40,3,4,0,0,10,9,297,5.8
kernels/gemm/igemm/igemm_pipelined_cpasync.imma_s02.sm_86.cubin,igemm_pipelined_cpasync,1136,0,32,8,64,64,16,48,16,0,0,33,0,0,0,170,140,104,23,39,2,2,0,4,15,8,348,5.7
kernels/gemm/igemm/igemm_pipelined_cpasync.imma_s04.sm_86.cubin,igemm_pipelined_cpasync,1136,0,32,8,64,64,16,48,16,0,0,33,0,0,0,170,140,104,23,39,2,2,0,4,15,8,348,5.7
kernels/gemm/igemm/igemm_pipelined_cpasync.sm_86.cubin,igemm_pipelined_cpasync,1136,0,32,8,64,64,16,48,16,0,0,33,0,0,0,170,140,104,23,39,2,2,0,4,15,8,348,5.7
kernels/gemm/hgemm/hgemm_16warp_persistent.sm_86.cubin,hgemm_16warp_persistent,584,32,0,16,0,32,4,28,16,0,0,0,0,1,0,55,137,51,17,16,2,3,0,5,12,5,152,5.5
kernels/gemm/igemm/igemm_sparse_tiled_persistent.sm_86.cubin,igemm_sparse_tiled_persistent,1184,0,32,8,137,63,4,62,32,0,0,33,0,1,0,102,167,113,10,32,1,3,0,1,9,6,368,5.5
kernels/gemm/igemm/igemm_pipelined_cpasync_perchannel.sm_86.cubin,igemm_pipelined_cpasync_perchannel,1624,0,32,8,92,80,16,88,28,0,28,28,0,0,0,235,292,122,48,59,2,2,0,4,18,15,427,5.4
kernels/gemm/igemm/igemm_pipelined.imma_s02.sm_86.cubin,igemm_pipelined,1256,0,32,8,64,64,0,64,16,0,0,33,0,0,0,184,212,134,44,7,2,3,0,4,8,6,371,5.2
kernels/gemm/igemm/igemm_pipelined.imma_s04.sm_86.cubin,igemm_pipelined,1256,0,32,8,64,64,0,64,16,0,0,33,0,0,0,184,212,134,44,7,2,3,0,4,8,6,371,5.2
kernels/gemm/igemm/igemm_pipelined.sm_86.cubin,igemm_pipelined,1256,0,32,8,64,64,0,64,16,0,0,33,0,0,0,184,212,134,44,7,2,3,0,4,8,6,371,5.2
kernels/gemm/igemm/igemm_pipelined_cpasync_bk64.sm_86.cubin,igemm_pipelined_cpasync_bk64,1960,0,64,16,128,128,32,96,16,0,0,33,0,0,0,331,231,214,23,71,2,2,0,4,14,7,548,4.9
kernels/gemm/hgemm_sparse/hgemm_sparse_tiled.sm_86.cubin,hgemm_sparse_tiled,720,32,0,40,0,32,4,36,32,0,0,0,0,0,0,69,93,74,12,31,3,2,0,0,10,4,246,4.4
kernels/gemm/igemm/igemm.sm_86.cubin,igemm_wmma,432,0,10,0,0,0,0,50,8,0,0,9,0,0,0,52,127,24,15,13,3,0,0,17,15,16,73,4.4
experiments/rust-experiments/cymatic_oxide/gather_oxide.sm_86.cubin,gather_sum,80,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,16,11,0,7,5,0,0,0,12,2,21,3.8
kernels/gemm/hgemm/hgemm_tiled.sm_86.cubin,hgemm_tiled,1728,64,0,24,56,80,16,48,56,0,0,0,0,0,0,221,374,131,74,91,2,2,0,8,28,12,441,3.7
kernels/gemm/hgemm/hgemm_16warp_epi.sm_86.cubin,hgemm_16warp_epi,952,32,0,16,28,40,8,24,28,0,0,0,0,0,0,120,205,65,38,47,2,2,0,4,20,18,255,3.4
kernels/gemm/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_b_row,240,0,0,1,0,5,0,0,80,0,8,0,0,0,0,19,34,4,11,6,1,0,0,0,9,2,60,3.3
kernels/gemm/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_a,240,0,0,1,0,5,0,0,80,0,8,0,0,0,0,19,34,4,11,6,1,0,0,0,9,2,60,3.3
kernels/gemm/hgemm/hgemm_16warp_epi_pad.sm_86.cubin,hgemm_16warp_epi_pad,976,32,0,16,28,48,8,24,28,0,0,0,0,0,0,118,243,65,42,47,2,2,0,4,22,19,228,3.3
tests/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_b_row,240,0,0,1,0,5,0,0,80,0,8,0,0,0,0,19,34,4,11,6,1,0,0,0,9,2,60,3.3
tests/hgemm_sparse/verify_wmma_ab_layout.sm_86.cubin,probe_frag_a,240,0,0,1,0,5,0,0,80,0,8,0,0,0,0,19,34,4,11,6,1,0,0,0,9,2,60,3.3
